Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Sequence analysis and structure prediction of malaysia sars-cov-2 strain’s structural and accessory proteins",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112381962&doi=10.33263%2fBRIAC123.32593304&partnerID=40&md5=211cefcd70c81fbd07e520fb01faf72b","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) that transmitted from animal to human became a life-threatening pandemic in 2020. Scientists are currently testing several drugs to eradicate the COVID-19 outbreak. However, there is no 100 % effective drug or vaccine against SARS-CoV-2 has been discovered so far. In this study, we explored the structure prediction and functional analysis of 75 Malaysia SARS-CoV-2 strain’s structural and accessory proteins without the presence of experimental models. Physiochemical analysis, secondary structure analysis, structure prediction, functional characterization, active site identification, and evolutionary analysis based on the amino acid sequences retrieved from National Centre for Biotechnology Information (NCBI). Three-dimensional (3-D) protein structures were built using the Swiss model. The quality of protein models was verified by ERRAT, PROCHECK, and Verify 3D tools. Active prediction analysis revealed the high potential active sites of proteins where the anti-viral drug or vaccine may bind and inhibit the viral activities. Molecular phylogenetic analysis of ORF10, ORF8, and ORF6 proteins from five different species was analyzed. The results from this analysis proved that Homo sapiens SARS-CoV-2 had high genetic similarity with the bat coronavirus. These analyses may help in designing structure-based antiviral drugs or to develop potential vaccines for SARS-CoV-2. © 2021 by the authors.","Evolutionary analysis; Malaysia; SARS-CoV-2; Sequence analysis; Structure prediction",
"Contrived publications and COVID-19 communication noise",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099206339&doi=10.4081%2fITJM.2020.1357&partnerID=40&md5=a3fe232d6a8b9ece986ebc00e32bda8c",[No abstract available],"COVID-19; Publication; Research","coronavirus disease 2019; editor; human; Letter; medical literature; medical research; pandemic; publication"
"Proposal for development of a guideline in maintaining quality cancer care during and post-covid-19 in an upper middle-income country with universal health coverage",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114044152&doi=10.1016%2fj.jcpo.2021.100300&partnerID=40&md5=fe2dc910fd553aa1f340abb36b0968ea","Background: During periods of high community transmission of COVID-19, the public hospitals in Malaysia, an upper middle-income country, have been forced to scale down elective surgeries, prioritize cancer treatments based on treatment benefits, and postpone non-emergency imaging procedures. These inevitably led to disruptions in cancer care delivery within the public health care system. This study aims to explore the facilitators and barriers faced by healthcare providers and cancer survivors in cancer care, and to co-design a guideline to maintain the delivery of cancer care amid the disaster situations. Method: In-depth interviews (IDIs) will be conducted with Malaysian healthcare providers and cancer survivors and findings will be analysed thematically. The insights will be used in a subsequent phase to co-design a guideline to maintain the delivery of quality cancer care in Malaysia via a three-round modified Delphi survey with a broad range of cancer stakeholders. Expected results: Findings derived from IDIs and existing literature will be included for rating across three rounds by the expert panel. Feedback provided will be refined until consensus on the best practises for cancer care continuity during crises is achieved. Conclusion: The output of the present study is not only expected to ensure the continuity of delivery of high-quality cancer care in Malaysia during the ongoing pandemic but also to be adapted during unforeseen crises in the near future. Policy summary statement: Collaborative work between policy makers, public health physicians, members of the multidisciplinary oncology team as well as cancer survivors is vital in developing an evidenced- based contingency plan for maintaining access to cancer care. © 2021 Elsevier Ltd","Cancer care; COVID-19; Guideline; Upper middle-income country",
"Pharmacy preparedness in handling COVID-19 pandemic: a sharing experience from a Malaysian tertiary hospital",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111869769&doi=10.1186%2fs40545-021-00343-6&partnerID=40&md5=9ec5d5e9f1066cc8ba93a90c491985a1","This commentary shares the experience of a hospital pharmacy department in providing healthcare services during the COVID-19 outbreak in Malaysia. During this pandemic, the medication delivery system is redesigned to minimize contact among patients and the health care providers. Also, the remote medication monitoring system was implemented to deliver pharmaceutical care for inpatients. Communication technology was used to assist the pharmacist in medication counseling. QR codes to access videos demonstrating the use of devices were made available for patients. Pharmacists were also tasked with the procurement of personal protective equipment and medications needed requiring special approval from the Ministry of Health. © 2021, The Author(s).","COVID-19; Hospital; Pandemics; Pharmacists; Pharmacy service",
"A comparative study of multiple neural network for detection of COVID-19 on chest X-ray",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111318191&doi=10.1186%2fs13634-021-00755-1&partnerID=40&md5=d20a57183a415e6c17bf3b407714e0bd","Coronavirus disease of 2019 or COVID-19 is a rapidly spreading viral infection that has affected millions all over the world. With its rapid spread and increasing numbers, it is becoming overwhelming for the healthcare workers to rapidly diagnose the condition and contain it from spreading. Hence it has become a necessity to automate the diagnostic procedure. This will improve the work efficiency as well as keep the healthcare workers safe from getting exposed to the virus. Medical image analysis is one of the rising research areas that can tackle this issue with higher accuracy. This paper conducts a comparative study of the use of the recent deep learning models (VGG16, VGG19, DenseNet121, Inception-ResNet-V2, InceptionV3, Resnet50, and Xception) to deal with the detection and classification of coronavirus pneumonia from pneumonia cases. This study uses 7165 chest X-ray images of COVID-19 (1536) and pneumonia (5629) patients. Confusion metrics and performance metrics were used to analyze each model. Results show DenseNet121 (99.48% of accuracy) showed better performance when compared with the other models in this study. © 2021, The Author(s).","Artificial neural networks; Classification; COVID-19; Deep learning; DenseNet121; Multi-task learning; Transfer learning","Deep learning; Health care; Medical imaging; Neural networks; Viruses; Chest X-ray image; Comparative studies; Diagnostic procedure; Healthcare workers; Multiple neural networks; Performance metrics; Viral infections; Work efficiency; Diagnosis"
"Needs, gaps and opportunities for standard and e-mental health care among at-risk populations in the Asia Pacific in the context of COVID-19: a rapid scoping review",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110791804&doi=10.1186%2fs12939-021-01484-5&partnerID=40&md5=855764fa95c9ff61a4c1d54d8bb2ec1c","Background: The COVID-19 pandemic is expected to have profound mental health impact, including in the Asia Pacific Economic Cooperation (APEC) region. Some populations might be at higher risk of experiencing negative mental health impacts and may encounter increased barriers to accessing mental health care. The pandemic and related restrictions have led to changes in care delivery, including a rapid shift to the use of e-mental health and digital technologies. It is therefore essential to consider needs and opportunities for equitable mental health care delivery to the most at-risk populations. This rapid scoping review: 1) identifies populations in the APEC region that are at higher risk of the negative mental health impacts of COVID-19, 2) identifies needs and gaps in access to standard and e-mental health care among these populations, and 3) explores the potential of e-mental health to address these needs. Methods: We conducted a rapid scoping review following the PRISMA Extension for Scoping Reviews (PRISMA-ScR). We searched Medline, Embase and PsychInfo databases and Google Scholar using a search strategy developed in consultation with a biomedical librarian. We included records related to mental health or psychosocial risk factors and COVID-19 among at-risk groups; that referred to one or more APEC member economies or had a global, thus generalizable, scope; English language papers, and papers with full text available. Results: A total of 132 records published between December 2019 and August 2020 were included in the final analysis. Several priority at-risk populations, risk factors, challenges and recommendations for standard and e-mental health care were identified. Results demonstrate that e-mental health care can be a viable option for care delivery but that specific accessibility and acceptability considerations must be considered. Options for in-person, hybrid or “low-tech” care must also remain available. Conclusions: The COVID-19 pandemic has highlighted the urgent need for equitable standard and e-mental health care. It has also highlighted the persistent social and structural inequities that contribute to poor mental health. The APEC region is vast and diverse; findings from the region can guide policy and practice in the delivery of equitable mental health care in the region and beyond. © 2021, The Author(s).","Asia Pacific; At-risk populations; COVID-19; E-mental health; Equity; Mental health","COVID-19; detection method; environmental history; health care; health impact; health insurance; health risk; mental health; risk factor; spatiotemporal analysis; age; AIDS patient; Asia; Black person; coronavirus disease 2019; disabled person; domestic violence; drug dependence; economic aspect; health care access; health care delivery; health care need; health care personnel; health care quality; health equity; high risk population; homelessness; human; indigenous people; juvenile; mental disease; mental health; mental health care; migrant; neurologic disease; pandemic; partner violence; practice gap; pregnancy; prisoner; psychosocial care; puerperium; refugee; Review; risk factor; social acceptance; telehealth; health service; mental disease; Pacific islands; pandemic; psychology; telemedicine; Pacific Rim; Asia; COVID-19; Health Services Needs and Demand; Humans; Mental Disorders; Pacific Islands; Pandemics; Risk Factors; Telemedicine"
"Self-compassion mediates the relationship between COVID-19-related stress and body image disturbance: Evidence from the United Kingdom under lockdown",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110503914&doi=10.1016%2fj.paid.2021.111130&partnerID=40&md5=d8358e64d7e69f8fd97b233bc0bdb272","The ongoing coronavirus (COVID-19) pandemic and attendant lockdown mandates may have detrimental effects on body image outcomes, which in turn highlights the importance of identifying protective factors. Here, we examined associations between COVID-19-related stress and body image disturbance, as well as the potential mediating and moderating role of self-compassion. During the third lockdown in the United Kingdom, we asked an online sample of adults (N = 600) to complete measures of COVID-19-related stress, body image disturbance, and self-compassion. Mediation analysis showed that higher COVID-19-related stress was significantly associated with greater body image disturbance, and that this relationship was mediated by self-compassion. In contrast, self-compassion did not significantly moderate the effects of stress on body image disturbance. These results suggest that promoting greater self-compassion may be a viable means of mitigating adverse outcomes from the COVID-19 pandemic on body image disturbance. © 2021 Elsevier Ltd","Body image disturbance; COVID-19; Lockdown; Self-compassion; Stress",
"Fuzzy rank-based fusion of CNN models using Gompertz function for screening COVID-19 CT-scans",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109760986&doi=10.1038%2fs41598-021-93658-y&partnerID=40&md5=7a12e346514ef4d31af13a28a7f4f0ae","COVID-19 has crippled the world’s healthcare systems, setting back the economy and taking the lives of several people. Although potential vaccines are being tested and supplied around the world, it will take a long time to reach every human being, more so with new variants of the virus emerging, enforcing a lockdown-like situation on parts of the world. Thus, there is a dire need for early and accurate detection of COVID-19 to prevent the spread of the disease, even more. The current gold-standard RT-PCR test is only 71% sensitive and is a laborious test to perform, leading to the incapability of conducting the population-wide screening. To this end, in this paper, we propose an automated COVID-19 detection system that uses CT-scan images of the lungs for classifying the same into COVID and Non-COVID cases. The proposed method applies an ensemble strategy that generates fuzzy ranks of the base classification models using the Gompertz function and fuses the decision scores of the base models adaptively to make the final predictions on the test cases. Three transfer learning-based convolutional neural network models are used, namely VGG-11, Wide ResNet-50-2, and Inception v3, to generate the decision scores to be fused by the proposed ensemble model. The framework has been evaluated on two publicly available chest CT scan datasets achieving state-of-the-art performance, justifying the reliability of the model. The relevant source codes related to the present work is available in: GitHub. © 2021, The Author(s).","Convolution neural networks; COVID-19; Deep learning; Ensemble; Gompertz function","diagnostic imaging; early diagnosis; human; information processing; lung; prevention and control; procedures; reproducibility; sensitivity and specificity; x-ray computed tomography; COVID-19; Datasets as Topic; Early Diagnosis; Humans; Lung; Neural Networks, Computer; Reproducibility of Results; Sensitivity and Specificity; Tomography, X-Ray Computed"
"In search of safe haven assets during COVID-19 pandemic: An empirical analysis of different investor types",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109070859&doi=10.1016%2fj.ribaf.2021.101461&partnerID=40&md5=a10504edd925e4975773abfe5134e7d0","This study assesses the role of gold, crude oil and cryptocurrency as a safe haven for traditional, sustainable, and Islamic investors during the COVID-19 pandemic crisis. Using Wavelet coherence analysis and spillover index methodologies in bivariate and multivariate settings, this study examines the correlation of these assets for different investment horizons. The findings suggest that gold, oil and Bitcoin exhibited low coherency with each stock index across almost all considered investment horizons until the onset of the COVID-19. Conversely, with the outbreak of the pandemic, the return spillover is more intense across financial assets, and a significant pairwise return connectedness between each equity index and hedging asset is observed. Hence, gold, oil, and Bitcoin do not exhibit safe-haven characteristics. However, by decomposing the time-varying co-movements into different investment horizons, we find that total and pairwise connectedness among the assets are primarily driven by a higher-frequency band (up to 4 days). It indicates that investors have diversification opportunities with gold, oil, and Bitcoin at longer horizons. The results are robust over different types of equity investors (traditional, sustainable, and Islamic) and various investment horizons. © 2021 Elsevier B.V.","Bitcoin; Commodities; COVID-19; Equities; Gold; Interconnectedness; Investment portfolio; Oil; Pandemic; Spillover",
"Impacts of COVID-19 and social isolation on academic staff and students at universities: a cross-sectional study",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108830223&doi=10.1186%2fs12889-021-11040-z&partnerID=40&md5=f328b071c5ff94c096cca3108837f855","Background: “The impacts of the Coronavirus Disease 2019 (COVID-19) pandemic and the shutdown it triggered at universities across the world, led to a great degree of social isolation among university staff and students. The aim of this study was to identify the perceived consequences of this on staff and their work and on students and their studies at universities. Method: The study used a variety of methods, which involved an on-line survey on the influences of social isolation using a non-probability sampling. More specifically, two techniques were used, namely a convenience sampling (i.e. involving members of the academic community, which are easy to reach by the study team), supported by a snow ball sampling (recruiting respondents among acquaintances of the participants). A total of 711 questionnaires from 41 countries were received. Descriptive statistics were deployed to analyse trends and to identify socio-demographic differences. Inferential statistics were used to assess significant differences among the geographical regions, work areas and other socio-demographic factors related to impacts of social isolation of university staff and students. Results: The study reveals that 90% of the respondents have been affected by the shutdown and unable to perform normal work or studies at their institution for between 1 week to 2 months. While 70% of the respondents perceive negative impacts of COVID 19 on their work or studies, more than 60% of them value the additional time that they have had indoors with families and others. Conclusions: While the majority of the respondents agree that they suffered from the lack of social interaction and communication during the social distancing/isolation, there were significant differences in the reactions to the lockdowns between academic staff and students. There are also differences in the degree of influence of some of the problems, when compared across geographical regions. In addition to policy actions that may be deployed, further research on innovative methods of teaching and communication with students is needed in order to allow staff and students to better cope with social isolation in cases of new or recurring pandemics. © 2021, The Author(s).","Academic staff; COVID-19; Social isolation; Students; University","communicable disease control; cross-sectional study; human; questionnaire; social isolation; student; university; Communicable Disease Control; COVID-19; Cross-Sectional Studies; Humans; SARS-CoV-2; Social Isolation; Students; Surveys and Questionnaires; Universities"
